                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                0.87921,                0.72671,                 1.0666,                0.95278,                0.96618,                0.97551,                0.67144,                0.99473,                0.63783,                 1.1246,             0.00092825,             0.00092825,             0.00092825
                     15,                0.86943,                0.70209,                 1.0509,                0.97635,                0.96959,                0.97461,                0.68365,                 1.0182,                0.56531,                 1.1557,              0.0009035,              0.0009035,              0.0009035
                     16,                 0.8473,                0.68344,                 1.0441,                0.93888,                0.95281,                0.97135,                0.70766,                0.98403,                0.60979,                 1.1214,             0.00087875,             0.00087875,             0.00087875
                     17,                0.83904,                0.67287,                 1.0389,                0.92442,                0.95611,                0.97332,                0.69025,                 1.0712,                0.63805,                 1.1803,               0.000854,               0.000854,               0.000854
                     18,                0.81154,                0.63559,                 1.0295,                0.95609,                0.94445,                0.97137,                0.69654,                0.95689,                0.59609,                 1.0966,             0.00082925,             0.00082925,             0.00082925
                     19,                0.80183,                0.62452,                 1.0211,                0.96318,                0.92284,                0.96411,                 0.7103,                0.94975,                0.63335,                 1.1045,              0.0008045,              0.0008045,              0.0008045
                     20,                0.78733,                0.59697,                 1.0225,                0.94565,                0.95259,                0.96359,                 0.6911,                0.97619,                0.61484,                 1.0938,             0.00077975,             0.00077975,             0.00077975
                     21,                0.77771,                0.59169,                 1.0162,                0.95005,                0.94644,                0.97602,                0.70473,                0.90925,                0.55351,                 1.0857,               0.000755,               0.000755,               0.000755
                     22,                0.75649,                0.58192,                 1.0033,                0.97633,                0.94824,                0.97603,                0.69616,                 1.0187,                0.55701,                 1.1617,             0.00073025,             0.00073025,             0.00073025
                     23,                0.71963,                0.56079,                0.98641,                0.96968,                0.93215,                0.96429,                0.68793,                 1.0099,                0.55612,                 1.1731,              0.0007055,              0.0007055,              0.0007055
                     24,                0.73231,                0.55418,                0.99452,                0.97069,                0.90612,                0.96562,                0.70934,                0.99896,                0.60163,                 1.1304,             0.00068075,             0.00068075,             0.00068075
                     25,                0.71329,                0.53323,                0.98969,                0.96245,                0.95148,                0.97296,                0.70933,                 1.0113,                0.57414,                 1.1829,               0.000656,               0.000656,               0.000656
                     26,                0.70341,                0.53533,                0.97973,                0.96725,                0.94354,                0.96713,                0.70467,                 0.9676,                0.62062,                 1.1099,             0.00063125,             0.00063125,             0.00063125
                     27,                0.67723,                 0.5133,                0.97929,                 0.9648,                0.95019,                0.97416,                0.70515,                0.99325,                0.54975,                 1.1203,              0.0006065,              0.0006065,              0.0006065
                     28,                 0.6879,                0.50935,                0.97438,                0.94032,                0.96407,                 0.9745,                0.70366,                0.96636,                0.53377,                 1.1192,             0.00058175,             0.00058175,             0.00058175
                     29,                0.65266,                0.48044,                0.94496,                0.97333,                0.94241,                  0.969,                0.71292,                0.95903,                0.58443,                 1.1152,               0.000557,               0.000557,               0.000557
                     30,                0.64178,                0.47555,                0.96055,                0.95848,                0.95737,                0.96711,                0.68194,                 1.0271,                0.56849,                 1.1369,             0.00053225,             0.00053225,             0.00053225
                     31,                0.64515,                0.48685,                0.95872,                0.96914,                0.95626,                0.97435,                0.68663,                0.98651,                0.54809,                 1.1267,              0.0005075,              0.0005075,              0.0005075
                     32,                0.64644,                0.48352,                0.96332,                  0.952,                0.96563,                0.97075,                0.70079,                 1.0381,                0.57836,                 1.1886,             0.00048275,             0.00048275,             0.00048275
                     33,                0.63704,                0.47334,                0.95368,                0.97677,                0.95708,                0.96717,                 0.6988,                0.99238,                0.55003,                 1.1649,               0.000458,               0.000458,               0.000458
                     34,                0.61831,                0.47548,                0.94827,                0.97469,                 0.9673,                0.97666,                 0.7302,                0.93165,                0.50655,                 1.1115,             0.00043325,             0.00043325,             0.00043325
                     35,                0.59082,                0.43783,                  0.939,                0.96482,                0.94951,                0.97795,                0.70632,                0.98544,                0.53353,                 1.1441,              0.0004085,              0.0004085,              0.0004085
                     36,                0.59216,                0.44171,                0.93683,                0.97203,                0.95868,                0.97777,                0.72873,                0.96061,                  0.506,                 1.1275,             0.00038375,             0.00038375,             0.00038375
                     37,                0.59323,                0.42677,                0.92519,                0.96284,                0.96742,                 0.9749,                0.72173,                 0.9412,                 0.5169,                 1.0948,               0.000359,               0.000359,               0.000359
                     38,                0.58007,                0.42883,                 0.9303,                0.97187,                0.95759,                0.97505,                0.71348,                 1.0006,                0.54965,                 1.1447,             0.00033425,             0.00033425,             0.00033425
                     39,                0.55453,                 0.4159,                 0.9313,                0.97195,                0.96418,                0.97766,                0.72897,                0.95134,                0.52117,                 1.1058,              0.0003095,              0.0003095,              0.0003095
                     40,                0.55726,                0.42588,                0.92551,                0.97693,                0.96247,                 0.9735,                0.72915,                0.97225,                0.51847,                   1.12,             0.00028475,             0.00028475,             0.00028475
                     41,                0.47008,                0.34157,                0.87253,                0.97664,                0.95164,                0.97396,                  0.722,                 0.9597,                 0.5157,                 1.0956,                0.00026,                0.00026,                0.00026
                     42,                  0.457,                0.32853,                0.85881,                0.97034,                0.96497,                0.97224,                0.71801,                0.95103,                0.54889,                 1.1028,             0.00023525,             0.00023525,             0.00023525
                     43,                  0.447,                0.32303,                0.85763,                0.94935,                0.97062,                0.97348,                0.72161,                0.95827,                0.53428,                 1.1139,              0.0002105,              0.0002105,              0.0002105
                     44,                 0.4269,                0.31092,                0.85713,                0.96472,                0.96063,                0.97338,                0.73776,                  0.964,                0.56514,                 1.1298,             0.00018575,             0.00018575,             0.00018575
                     45,                0.41962,                 0.3115,                0.84877,                0.97797,                0.95572,                0.97754,                0.72993,                 0.9374,                0.52727,                 1.0967,               0.000161,               0.000161,               0.000161
                     46,                0.40315,                0.30151,                0.83787,                0.97519,                0.94913,                0.97763,                0.73751,                0.92799,                0.52318,                 1.1163,             0.00013625,             0.00013625,             0.00013625
                     47,                0.39273,                0.29242,                0.83449,                0.97199,                0.95231,                0.97684,                0.72923,                0.94389,                0.53073,                 1.1114,              0.0001115,              0.0001115,              0.0001115
                     48,                0.37975,                0.28848,                0.83375,                0.96103,                0.96323,                0.97707,                0.72937,                0.95209,                0.52827,                 1.1207,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.36717,                 0.2787,                0.83092,                0.97784,                0.95009,                0.97613,                0.72796,                0.94584,                0.53033,                 1.1191,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.36867,                 0.2803,                0.83116,                0.97814,                0.95184,                0.97596,                 0.7357,                 0.9428,                0.53212,                 1.1164,              3.725e-05,              3.725e-05,              3.725e-05
