                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3978,                  3.565,                 1.3739,                0.90776,                0.41894,                0.70551,                0.47293,                 1.1226,                 2.6644,                 1.1645,             0.00041176,             0.00041176,             0.00041176
                      2,                 1.2453,                 2.3319,                  1.263,                0.70424,                0.68883,                0.78084,                 0.4977,                 1.1866,                 1.9502,                 1.2615,             0.00081203,             0.00081203,             0.00081203
                      3,                 1.2193,                 1.9776,                 1.2502,                0.77506,                0.68281,                0.79498,                0.49045,                 1.1846,                  1.465,                 1.2437,              0.0011958,              0.0011958,              0.0011958
                      4,                 1.1949,                 1.5958,                 1.2422,                0.91003,                0.77065,                0.90105,                0.55762,                 1.1199,                 1.1048,                 1.2136,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.134,                 1.3764,                 1.2121,                0.89411,                0.86485,                0.93091,                0.59849,                 1.1754,                0.94092,                 1.2236,               0.001151,               0.001151,               0.001151
                      6,                  1.088,                 1.1817,                 1.1747,                0.82136,                0.88288,                0.91396,                0.60298,                 1.0743,                 1.0398,                 1.1587,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0494,                  1.054,                 1.1496,                0.92978,                0.93289,                0.96078,                0.66216,                 1.0315,                0.74919,                 1.1615,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0367,                 1.0135,                   1.15,                0.90133,                0.81241,                0.91333,                0.61403,                 1.1153,                0.98965,                 1.1876,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0062,                0.92422,                 1.1271,                 0.9459,                0.88984,                0.95083,                0.63878,                 1.0809,                0.81118,                 1.1839,               0.001052,               0.001052,               0.001052
                     10,                0.97118,                0.89026,                 1.1118,                0.91433,                0.84061,                0.92795,                0.61416,                 1.0931,                0.88277,                 1.1655,              0.0010273,              0.0010273,              0.0010273
                     11,                0.92895,                0.83362,                 1.0971,                0.94544,                0.93704,                0.96344,                0.66684,                 1.0185,                0.67998,                 1.1328,              0.0010025,              0.0010025,              0.0010025
                     12,                 0.9255,                0.81111,                 1.0859,                0.92747,                0.93377,                0.95419,                0.64812,                 1.0256,                0.72339,                 1.1302,             0.00097775,             0.00097775,             0.00097775
                     13,                0.89194,                0.74684,                 1.0702,                0.94518,                0.95264,                0.97617,                0.69707,                0.91244,                0.59453,                 1.0871,               0.000953,               0.000953,               0.000953
